8366,98.50,5.00,5.00,4732.50
19204,90.00,15.00,15.00,5800.00
12003,96.00,10.00,10.00,4055.00
17908,85.00,15.00,15.00,4425.00
11342,98.00,5.00,5.00,5360.00
25504,89.00,15.00,15.00,4640.00
18352,67.89,5.00,5.00,3359.45
19293,97.00,5.00,5.00,5055.00
5431,89.00,10.00,10.00,2590.00
17493,99.00,15.00,0.00,5685.00
7241,98.00,5.00,5.00,4178.50
18641,89.00,15.00,15.00,6978.00
19599,95.00,5.00,5.00,4100.00
11150,60.00,10.00,10.00,3226.00
14298,98.99,10.00,0.00,3818.35
26970,96.00,15.00,15.00,3815.00
469,88.99,15.00,15.00,4835.95
18714,85.00,10.00,10.00,5450.00
7574,98.90,15.00,14.00,6159.60
305,97.00,15.00,15.00,4545.00
2427,99.80,10.00,0.00,3349.00
26540,98.00,5.00,5.00,5396.00
11334,98.00,15.00,15.00,3320.00
4604,98.99,10.00,0.00,4353.00
17341,85.00,15.00,15.00,4424.90
10442,77.00,5.00,5.00,3935.00
1055,95.00,5.00,5.00,2325.00
21774,80.00,15.00,15.00,4895.00
24175,99.00,10.00,0.00,2750.00
20181,5.00,15.00,15.00,3560.00
21471,98.00,10.00,10.00,4655.00
11693,98.00,10.00,10.00,4440.00
8859,99.00,5.00,0.00,2540.00
24871,95.00,15.00,15.00,4881.00
28674,98.00,15.00,15.00,4470.00
7602,90.00,10.00,10.00,4775.00
